text,label
"Urgent: Your bank account has been suspended. Click here to verify your identity. http://secure-bank-login.com",1
"Congratulations! You've won a $1000 Amazon gift card. Claim now at http://win-now.cc/amazon",1
"Action Required: Update your password immediately to avoid account lockout.",1
"Dear customer, we noticed suspicious activity on your account. Please log in here.",1
"Hey, are we still meeting for lunch today at 12:30?",0
"The project report is attached. Let me know if you have any questions.",0
"Hi Team, please find the minutes from our last meeting in the shared drive.",0
"Your Amazon order #123-456 has been shipped and will arrive tomorrow.",0
"Invoice #8827 is overdue. Please pay within 24 hours to avoid penalties. http://payment-gateway.biz",1
"Netflix: Your subscription payment failed. Please update your billing info.",1
"Reminder: Your dental appointment is scheduled for next Tuesday at 10 AM.",0
"Can you review the draft for the new website homepage?",0
"URGENT: Verify your PayPal account to continue receiving payments.",1
"New message from HR regarding the upcoming company holiday schedule.",0
"Your Apple ID was used to sign in to a new device in Moscow, Russia. If this wasn't you, click here.",1
"The weather forecast says it might rain this weekend. Should we cancel the hike?",0
"Great job on the presentation yesterday! The client was very impressed.",0
"Security Alert: Your Gmail account was accessed from a new IP address. http://security-verify-google.co",1
"Please find the recipe for the lasagna we talked about. It's delicious!",0
"Don't miss out on our summer sale! Up to 50% off on all items.",0
"Your library books are due back in 3 days. Please renew if needed.",0
"IMPORTANT: Your Microsoft 365 license has expired. Renew now to keep your files.",1
"Dear Valued User, We are pleased to inform you that your email address has been randomly selected as the winner of a special cash reward of $850,000 USD from Global Rewards Group. To claim your reward, please verify your identity by clicking the secure link: http://secure-verify-reward.test/claim?id=982341",1
"Final Notice: Your vehicle warranty is about to expire. Call us at 1-800-FAKE-NOW to renew.",1
"You have received a new voice message. Click here to listen: http://voicemail-access.com/play",1
"Facebook: Someone tried to log into your account. If this was not you, please change your password.",1
"IRS: You have a pending tax refund of $1,250. Click here to submit your details.",1
"Hi Mom, I'm heading home now. See you for dinner!",0
"Meeting rescheduled to 3 PM in Room B. Please bring the quarterly reports.",0
"Your Uber ride receipt: $14.50. Thank you for riding with us.",0
"Google: Security alert for your linked account. Review activity now.",0
"URGENT Action Required: Your Office 365 account will be deactivated in 2 hours unless you update your payment method.",1
"Win a free iPhone 15 Pro by completing this short survey! Limited time offer.",1
"Support: We need more information to process your recent refund request. Reply with your SSN.",1
"Happy Birthday! Hope you have a fantastic day filled with joy.",0
"Just checking in to see how you're feeling after the surgery. Get well soon!",0
"New comment on your blog post: 'Great insights, thanks for sharing!'",0
"Your package from FedEx is pending at our terminal. Pay $1.99 delivery fee to release it now.",1
"BITCOIN ALERT: Your wallet has a pending transfer of 0.5 BTC. Confirm here.",1
"LinkedIn: 5 people viewed your profile this week. See who they are.",0
"Zoom: You have been invited to a meeting. Join here: https://zoom.us/j/123456789",0
"Hello, this is tech support. We detected a virus on your computer. Download this tool to fix it: http://pc-repair-instant.cc",1
"Urgent: Unauthorised access to your Binance account. Secure it now by clicking the link.",1
"Your electricity bill for January is ready. Log in to your portal to view and pay.",0
"Hi, are you still interested in the bike I'm selling on Marketplace?",0
"Action Required: Your LinkedIn password has been successfully changed. If you did not do this, click here.",1
"Congratulations! Your entry was drawn as the winner of our Summer Sweepstakes. Claim your prize here.",1
